phase,impl,scene,config,width,height,depth,samples,threads,schedule,chunk,seconds
serial,serial_rt,scene.txt,small,400,300,8,2,1,serial,0,0.129249
serial,serial_pt,scene.txt,small,400,300,8,32,1,serial,0,6.44281
serial,serial_rt,scene.txt,medium,800,600,8,4,1,serial,0,1.79199
serial,serial_pt,scene.txt,medium,800,600,8,128,1,serial,0,100.985
serial,serial_rt,scene.txt,large,1600,1200,8,4,1,serial,0,7.55042
serial,serial_pt,scene.txt,large,1600,1200,8,256,1,serial,0,811.762
serial,serial_rt,scene_many.txt,small,400,300,8,2,1,serial,0,0.375928
serial,serial_pt,scene_many.txt,small,400,300,8,32,1,serial,0,11.4244
serial,serial_rt,scene_many.txt,medium,800,600,8,4,1,serial,0,6.26157
serial,serial_pt,scene_many.txt,medium,800,600,8,128,1,serial,0,175.809
serial,serial_rt,scene_many.txt,large,1600,1200,8,4,1,serial,0,25.1125
serial,serial_pt,scene_many.txt,large,1600,1200,8,256,1,serial,0,1406.14
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,static,1,103.586
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,static,8,103.152
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,static,32,103.362
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,static,128,102.943
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,dynamic,1,103.23
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,dynamic,8,103.17
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,dynamic,32,102.952
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,dynamic,128,101.612
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,guided,1,101.302
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,guided,8,103.465
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,guided,32,101.425
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,static,1,52.9399
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,static,8,53.0016
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,static,32,52.8238
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,static,128,52.9764
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,dynamic,1,52.5063
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,dynamic,8,52.7146
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,dynamic,32,53.0459
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,dynamic,128,52.347
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,guided,1,52.964
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,guided,8,53.0645
