phase,impl,scene,config,width,height,depth,samples,threads,schedule,chunk,seconds
serial,serial_rt,scene.txt,small,400,300,8,2,1,serial,0,0.0896131
serial,serial_pt,scene.txt,small,400,300,8,32,1,serial,0,5.02452
serial,serial_rt,scene.txt,medium,800,600,8,4,1,serial,0,1.77463
serial,serial_pt,scene.txt,medium,800,600,8,128,1,serial,0,73.5095
serial,serial_rt,scene.txt,large,1600,1200,8,4,1,serial,0,6.48554
serial,serial_pt,scene.txt,large,1600,1200,8,256,1,serial,0,621.377
serial,serial_rt,scene_many.txt,small,400,300,8,2,1,serial,0,0.357465
serial,serial_pt,scene_many.txt,small,400,300,8,32,1,serial,0,7.21599
serial,serial_rt,scene_many.txt,medium,800,600,8,4,1,serial,0,4.20394
serial,serial_pt,scene_many.txt,medium,800,600,8,128,1,serial,0,121.263
serial,serial_rt,scene_many.txt,large,1600,1200,8,4,1,serial,0,17.7337
serial,serial_pt,scene_many.txt,large,1600,1200,8,256,1,serial,0,926.6
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,static,1,74.5652
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,static,8,73.2333
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,static,32,74.2837
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,static,128,77.3533
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,dynamic,1,75.6673
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,dynamic,8,72.1728
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,dynamic,32,77.6709
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,dynamic,128,78.8166
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,guided,1,75.8691
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,guided,8,75.9238
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,guided,32,74.6732
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,static,1,43.1499
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,static,8,43.6532
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,static,32,43.8616
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,static,128,39.5261
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,dynamic,1,38.7064
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,dynamic,8,40.1141
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,dynamic,32,42.2904
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,dynamic,128,39.6667
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,guided,1,38.469
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,guided,8,42.3078
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,guided,32,38.5115
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,4,static,1,22.5853
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,4,static,8,22.92
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,4,static,32,23.3258
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,4,static,128,21.5457
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,4,dynamic,1,20.9395
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,4,dynamic,8,21.7078
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,4,dynamic,32,21.3391
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,4,dynamic,128,21.848
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,4,guided,1,21.5715
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,4,guided,8,23.3315
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,4,guided,32,23.4968
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,8,static,1,15.433
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,8,static,8,15.5785
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,8,static,32,14.0214
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,8,static,128,14.5664
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,8,dynamic,1,14.474
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,8,dynamic,8,15.3796
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,8,dynamic,32,16.4605
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,8,dynamic,128,18.5099
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,8,guided,1,16.0605
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,8,guided,8,16.7046
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,8,guided,32,15.6455
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,1,static,1,125.255
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,1,static,8,122.036
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,1,static,32,113.911
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,1,static,128,123.949
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,1,dynamic,1,117.751
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,1,dynamic,8,115.059
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,1,dynamic,32,109.891
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,1,dynamic,128,116.666
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,1,guided,1,118.725
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,1,guided,8,123.038
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,1,guided,32,118.826
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,2,static,1,63.8054
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,2,static,8,62.7509
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,2,static,32,63.0831
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,2,static,128,62.6306
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,2,dynamic,1,63.4312
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,2,dynamic,8,60.843
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,2,dynamic,32,62.7745
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,2,dynamic,128,62.7723
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,2,guided,1,61.8381
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,2,guided,8,69.5156
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,2,guided,32,63.0607
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,4,static,1,33.7049
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,4,static,8,34.9595
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,4,static,32,34.7534
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,4,static,128,34.8996
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,4,dynamic,1,36.1319
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,4,dynamic,8,33.5886
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,4,dynamic,32,34.1866
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,4,dynamic,128,34.7866
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,4,guided,1,38.1629
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,4,guided,8,36.5438
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,4,guided,32,33.4812
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,8,static,1,22.6493
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,8,static,8,22.6603
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,8,static,32,23.9663
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,8,static,128,22.4725
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,8,dynamic,1,21.0565
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,8,dynamic,8,20.3709
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,8,dynamic,32,20.8506
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,8,dynamic,128,21.3515
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,8,guided,1,22.101
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,8,guided,8,20.6492
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,8,guided,32,21.0141
compare,openmp_best,scene.txt,small,400,300,8,32,1,dynamic,8,4.47149
compare,numba_pt,scene.txt,small,400,300,8,32,1,prange,0,3.4378235830008634
compare,openmp_best,scene.txt,small,400,300,8,32,2,dynamic,8,2.12374
compare,numba_pt,scene.txt,small,400,300,8,32,2,prange,0,2.385778174999359
compare,openmp_best,scene.txt,small,400,300,8,32,4,dynamic,8,1.62677
compare,numba_pt,scene.txt,small,400,300,8,32,4,prange,0,1.0381262280006922
compare,openmp_best,scene.txt,small,400,300,8,32,8,dynamic,8,0.720105
compare,numba_pt,scene.txt,small,400,300,8,32,8,prange,0,0.8669104410000728
compare,openmp_best,scene.txt,medium,800,600,8,128,1,dynamic,8,67.7019
compare,numba_pt,scene.txt,medium,800,600,8,128,1,prange,0,55.82880747300078
compare,openmp_best,scene.txt,medium,800,600,8,128,2,dynamic,8,40.053
compare,numba_pt,scene.txt,medium,800,600,8,128,2,prange,0,36.115949070999704
compare,openmp_best,scene.txt,medium,800,600,8,128,4,dynamic,8,21.6558
compare,numba_pt,scene.txt,medium,800,600,8,128,4,prange,0,19.582525403000545
compare,openmp_best,scene.txt,medium,800,600,8,128,8,dynamic,8,13.3174
compare,numba_pt,scene.txt,medium,800,600,8,128,8,prange,0,11.934378099998867
compare,openmp_best,scene.txt,large,1600,1200,8,256,1,dynamic,8,572.255
compare,numba_pt,scene.txt,large,1600,1200,8,256,1,prange,0,473.98994268599927
compare,openmp_best,scene.txt,large,1600,1200,8,256,2,dynamic,8,309.69
compare,numba_pt,scene.txt,large,1600,1200,8,256,2,prange,0,282.34869925599924
compare,openmp_best,scene.txt,large,1600,1200,8,256,4,dynamic,8,165.777
compare,numba_pt,scene.txt,large,1600,1200,8,256,4,prange,0,172.01329970799998
compare,openmp_best,scene.txt,large,1600,1200,8,256,8,dynamic,8,158.678
compare,numba_pt,scene.txt,large,1600,1200,8,256,8,prange,0,169.86819350399855
compare,openmp_best,scene_many.txt,small,400,300,8,32,1,dynamic,32,18.0697
compare,numba_pt,scene_many.txt,small,400,300,8,32,1,prange,0,15.366540625000198
compare,openmp_best,scene_many.txt,small,400,300,8,32,2,dynamic,32,9.08569
compare,numba_pt,scene_many.txt,small,400,300,8,32,2,prange,0,9.591351585999291
compare,openmp_best,scene_many.txt,small,400,300,8,32,4,dynamic,32,5.63963
compare,numba_pt,scene_many.txt,small,400,300,8,32,4,prange,0,5.416906394999387
compare,openmp_best,scene_many.txt,small,400,300,8,32,8,dynamic,32,3.34133
