phase,impl,scene,config,width,height,depth,samples,threads,schedule,chunk,seconds
serial,serial_rt,scene.txt,small,400,300,8,2,1,serial,0,0.0791018
serial,serial_pt,scene.txt,small,400,300,8,32,1,serial,0,4.04381
serial,serial_rt,scene.txt,medium,800,600,8,4,1,serial,0,1.22741
serial,serial_pt,scene.txt,medium,800,600,8,128,1,serial,0,63.4167
serial,serial_rt,scene.txt,large,1600,1200,8,4,1,serial,0,4.57587
serial,serial_pt,scene.txt,large,1600,1200,8,256,1,serial,0,489.973
serial,serial_rt,scene_many.txt,small,400,300,8,2,1,serial,0,0.21252
serial,serial_pt,scene_many.txt,small,400,300,8,32,1,serial,0,7.04124
serial,serial_rt,scene_many.txt,medium,800,600,8,4,1,serial,0,3.34398
serial,serial_pt,scene_many.txt,medium,800,600,8,128,1,serial,0,92.5523
serial,serial_rt,scene_many.txt,large,1600,1200,8,4,1,serial,0,14.6552
serial,serial_pt,scene_many.txt,large,1600,1200,8,256,1,serial,0,750.842
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,static,1,62.2254
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,static,8,62.5302
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,static,32,62.2398
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,static,128,62.4291
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,dynamic,1,62.709
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,dynamic,8,62.409
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,dynamic,32,62.5715
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,dynamic,128,62.3022
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,guided,1,62.3496
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,guided,8,66.7161
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,guided,32,64.208
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,static,1,33.4573
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,static,8,32.5332
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,static,32,32.3909
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,static,128,33.6585
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,dynamic,1,33.4238
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,dynamic,8,31.706
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,dynamic,32,32.3712
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,dynamic,128,34.1725
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,guided,1,31.7519
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,guided,8,33.5401
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,guided,32,32.0319
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,4,static,1,19.3732
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,4,static,8,19.5428
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,4,static,32,19.7669
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,4,static,128,19.6572
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,4,dynamic,1,19.122
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,4,dynamic,8,18.654
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,4,dynamic,32,18.8618
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,4,dynamic,128,19.5985
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,4,guided,1,19.1621
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,4,guided,8,18.8411
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,4,guided,32,18.8016
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,8,static,1,11.0345
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,8,static,8,10.9576
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,8,static,32,11.0318
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,8,static,128,11.0285
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,8,dynamic,1,10.8029
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,8,dynamic,8,10.8787
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,8,dynamic,32,10.7794
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,8,dynamic,128,10.8283
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,8,guided,1,11.4806
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,8,guided,8,11.7571
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,8,guided,32,11.3796
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,1,static,1,93.0785
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,1,static,8,92.5751
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,1,static,32,93.007
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,1,static,128,92.9756
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,1,dynamic,1,93.1637
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,1,dynamic,8,92.8717
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,1,dynamic,32,93.1681
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,1,dynamic,128,93.9917
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,1,guided,1,93.9381
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,1,guided,8,94.8822
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,1,guided,32,95.5879
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,2,static,1,47.7904
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,2,static,8,47.6
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,2,static,32,47.3611
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,2,static,128,47.5276
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,2,dynamic,1,46.2275
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,2,dynamic,8,46.5972
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,2,dynamic,32,46.952
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,2,dynamic,128,48.7356
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,2,guided,1,47.9328
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,2,guided,8,46.5102
